EmissionID,Year,TechID,ETypeID,Value
4,2012,1200,ED,1845.5404675
4,2012,1220,ED,16248.138641
4,2012,1221,ED,0.791872007
4,2012,1230,ED,5.428783e-5
4,2012,1240,ED,61.591550025000004
4,2012,1301,ED,0.23286024
4,2012,1320,ED,12473.741752
4,2012,1340,ED,32220.695358
4,2012,1390,ED,24879.264524
4,2012,1391,ED,0.120135166
4,2012,1410,ED,2362.3280681
4,2012,1450,ED,614.87582423
4,2012,1451,ED,1668.6309939
4,2012,1452,ED,2319.5203104
4,2012,1453,ED,1616.7148013
4,2012,1460,ED,25218.23955
4,2012,1461,ED,0.483181174
4,2012,1462,ED,2.1089029999999998e-4
4,2012,1471,ED,1068.9350121
4,2012,1510,ED,0.278771722
4,2012,1520,ED,2247.3573008
4,2012,1530,ED,22727.058512
4,2012,1550,ED,186.15476632000002
4,2012,1560,ED,1814.201566
4,2012,1570,ED,49886.706695
4,2012,1590,ED,44553.492642
4,2012,1591,ED,2.621030213
4,2012,1592,ED,2.691764325
4,2012,1610,ED,35631.933813
4,2012,1630,ED,3122.6447965
4,2012,1640,ED,37988.432952999996
4,2012,1650,ED,2571.3285005000002
4,2012,1660,ED,71841.478111
4,2012,1670,ED,69840.050685
4,2012,1671,ED,3.224526973
4,2012,1680,ED,6.564182079
4,2012,1682,ED,57647.276422
4,2012,1730,ED,326.5478455
4,2012,2070,ED,437.5360722
4,2012,2080,ED,819.1562376
4,2012,2120,ED,461.7255216
4,2012,2130,ED,238.8755581
4,2012,2190,ED,314.6260888
4,2012,2240,ED,117.2324693
4,2012,3010,ED,1611.636934
4,2012,3020,ED,183.1994309
4,2012,3030,ED,4979.521123
4,2012,3040,ED,582.5710371
4,2012,4010,ED,1.713534455
4,2012,4040,ED,8.876535537
4,2012,4050,ED,213.61852353999998
4,2012,4060,ED,6.172306759
4,2012,4070,ED,68.93866584
4,2012,4120,ED,435.03437929999996
4,2012,4130,ED,5166.410888
4,2012,4140,ED,319.591835
4,2012,4150,ED,1608.72302
4,2012,4200,ED,363.22386234
4,2012,4210,ED,3273.4216841
4,2012,4220,ED,1061.9480788
4,2012,4230,ED,266.58937856
4,2012,5000,ED,159.52518682000002
4,2012,5001,ED,455.06240039
4,2012,5002,ED,667.0821732700001
4,2012,5003,ED,487.34084414
4,2012,5004,ED,307.37164915
4,2012,5012,ED,3054.8196027
4,2012,5013,ED,7924.911622
4,2012,5014,ED,6197.6492382999995
4,2012,5015,ED,6481.3004636
4,2012,5016,ED,4067.6172687
4,2012,5024,ED,5.420059e-5
4,2012,5025,ED,0.198240067
4,2012,5033,ED,0.058295055
4,2012,5041,ED,17.261662675
4,2012,5051,ED,1.5757477e-5
4,2012,5052,ED,0.075779855
4,2012,5060,ED,0.030875756999999997
4,2012,5061,ED,0.12096127500000001
4,2012,5200,ED,130.69813245400002
4,2012,5201,ED,363.70365839
4,2012,5202,ED,539.53935037
4,2012,5203,ED,370.62214337999995
4,2012,5204,ED,238.46488256
4,2012,5212,ED,2799.4525558
4,2012,5213,ED,7303.063816
4,2012,5214,ED,5680.9798449
4,2012,5215,ED,5804.5934082
4,2012,5216,ED,3697.7528875
4,2012,5224,ED,4.854157e-5
4,2012,5225,ED,0.180214269
4,2012,5233,ED,0.052994348999999996
4,2012,5241,ED,14.455807335
4,2012,5251,ED,1.2628111e-5
4,2012,5252,ED,0.062634795
4,2012,5260,ED,0.027652045
4,2012,5261,ED,0.10996241000000001
4,2012,5400,ED,42.537692274
4,2012,5401,ED,110.998725643
4,2012,5402,ED,165.606284515
4,2012,5403,ED,94.220590913
4,2012,5404,ED,62.735585466
4,2012,5412,ED,826.6372302999999
4,2012,5413,ED,2106.8564749
4,2012,5414,ED,1708.550843
4,2012,5415,ED,1731.0002497
4,2012,5416,ED,1121.0875832
4,2012,5425,ED,0.054637506
4,2012,5433,ED,0.01606687
4,2012,5441,ED,4.441898966
4,2012,5452,ED,0.01571577
4,2012,5460,ED,0.008246174
4,2012,5461,ED,0.033338485
4,2012,5600,ED,28.830608406
4,2012,5601,ED,73.353172738
4,2012,5602,ED,105.589742872
4,2012,5603,ED,76.815874402
4,2012,5604,ED,54.40508284
4,2012,5612,ED,581.4530517
4,2012,5613,ED,1524.3888803
4,2012,5614,ED,1175.7428605
4,2012,5615,ED,1195.3900477
4,2012,5616,ED,770.09612599
4,2012,5625,ED,0.037531535
4,2012,5633,ED,0.011036635
4,2012,5641,ED,2.802040478
4,2012,5652,ED,0.014626737
4,2012,5660,ED,0.005694623
4,2012,5661,ED,0.022900835
4,2012,5800,ED,72.218144479
4,2012,5801,ED,201.14666756
4,2012,5802,ED,286.98852161
4,2012,5803,ED,187.46302910999998
4,2012,5804,ED,109.559076448
4,2012,5812,ED,1427.6499482
4,2012,5813,ED,3704.8067434
4,2012,5814,ED,2863.7957557
4,2012,5815,ED,2945.4303892
4,2012,5816,ED,1883.5531419
4,2012,5825,ED,0.091797134
4,2012,5833,ED,0.026994138
4,2012,5841,ED,7.718503634999999
4,2012,5851,ED,6.349858e-6
4,2012,5852,ED,0.027723026
4,2012,5860,ED,0.014031504
4,2012,5861,ED,0.0560124
4,2013,10,ED,757.0838304399999
4,2013,30,ED,59217.533442
4,2013,40,ED,34642.594904
4,2013,70,ED,4287.6519222
4,2013,80,ED,2616.1286781
4,2013,90,ED,79.037080752
4,2013,91,ED,9.2305e-7
4,2013,100,ED,1006.1694035500001
4,2013,110,ED,2466.6674447
4,2013,120,ED,1792.404329
4,2013,130,ED,7021.5046356
4,2013,140,ED,5121.4109869
4,2013,150,ED,178.630163009
4,2013,160,ED,1367.20537242
4,2013,161,ED,12.333473119
4,2013,170,ED,5152.4927662
4,2013,181,ED,3520.6386229
4,2013,190,ED,1061.57360917
4,2013,191,ED,5.25987643
4,2013,200,ED,2312.2437593
4,2013,210,ED,30.364449175
4,2013,220,ED,201.58404988
4,2013,230,ED,1179.7951197
4,2013,240,ED,1142.7532969
4,2013,250,ED,2.1027859
4,2013,260,ED,487.89919551
4,2013,261,ED,
4,2013,265,ED,501.32684051
4,2013,270,ED,0.655607151
4,2013,280,ED,52.01796898800001
4,2013,290,ED,156.95187065800002
4,2013,291,ED,
4,2013,295,ED,198.125065573
4,2013,300,ED,283.732556639
4,2013,302,ED,1.900601065
4,2013,305,ED,275.658307876
4,2013,310,ED,0.721449467
4,2013,320,ED,164.41549556
4,2013,330,ED,0.231815791
4,2013,340,ED,36.786265671
4,2013,350,ED,151.494072254
4,2013,351,ED,
4,2013,360,ED,300.619786336
4,2013,361,ED,
4,2013,362,ED,0.0037427500000000004
4,2013,363,ED,741.19208367
4,2013,386,ED,0.012984687
4,2013,400,ED,29.921555367
4,2013,410,ED,0.49256574799999997
4,2013,411,ED,0.204219526
4,2013,430,ED,0.08767211300000001
4,2013,431,ED,3.3535082029999996
4,2013,442,ED,1.4449261130000002
4,2013,460,ED,0.042288947
4,2013,461,ED,6.211520436000001
4,2013,470,ED,3.3961549000000003e-4
4,2013,471,ED,4.297102426
4,2013,611,ED,0.013012681
4,2013,620,ED,35.256233037
4,2013,630,ED,909.3849816
4,2013,631,ED,0.023983367
4,2013,640,ED,
4,2013,660,ED,6.46888e-5
4,2013,670,ED,
4,2013,690,ED,285.0165173
4,2013,691,ED,
4,2013,700,ED,217.2142449
4,2013,720,ED,26.4840172
4,2013,810,ED,19.95694979
4,2013,811,ED,
4,2013,850,ED,8.283160229
4,2013,852,ED,0.167894568
4,2013,853,ED,0.203102309
4,2013,857,ED,3.532165132
4,2013,865,ED,17.55637032
4,2013,870,ED,4639.898269
4,2013,890,ED,9027.761169
4,2013,970,ED,1643.711899
4,2013,980,ED,16371.93511
4,2013,1040,ED,6524.914318
4,2013,1041,ED,
4,2013,1110,ED,
4,2013,1130,ED,5991.448523
4,2013,1131,ED,
4,2013,1132,ED,1006.249811
4,2013,1142,ED,4.081197772
4,2013,1152,ED,1245.445731
4,2013,1153,ED,1889.162062
4,2013,1158,ED,535.7083753
4,2013,1159,ED,4465.821125
4,2013,1163,ED,1361.944297
4,2013,1164,ED,
4,2013,1166,ED,1424.606943
4,2013,1167,ED,
4,2013,1168,ED,0.008886117
4,2013,1180,ED,0.054516422
4,2013,1200,ED,649.87940466
4,2013,1220,ED,29211.512078000003
4,2013,1221,ED,0.816506374
4,2013,1230,ED,5.4884460000000003e-5
4,2013,1240,ED,56.890537114000004
4,2013,1301,ED,0.240125011
4,2013,1320,ED,6790.0236216
4,2013,1340,ED,24046.743715999997
4,2013,1390,ED,22963.171577
4,2013,1391,ED,0.121458848
4,2013,1410,ED,831.6845306499999
4,2013,1450,ED,335.80684621999995
4,2013,1451,ED,1242.8035136
4,2013,1452,ED,2138.7033387
4,2013,1453,ED,1622.4622632
4,2013,1460,ED,25358.103555
4,2013,1461,ED,0.498170986
4,2013,1462,ED,2.121463e-4
4,2013,1471,ED,1147.78938073
4,2013,1510,ED,0.28741722000000003
4,2013,1520,ED,784.2057108
4,2013,1530,ED,34315.111612
4,2013,1550,ED,166.92695378
4,2013,1560,ED,736.2550552
4,2013,1570,ED,32857.741529
4,2013,1590,ED,39868.843162
4,2013,1591,ED,2.623711039
4,2013,1592,ED,2.747823457
4,2013,1610,ED,35481.780324
4,2013,1630,ED,1085.313412
4,2013,1640,ED,56323.046057
4,2013,1650,ED,1040.7562068
4,2013,1660,ED,47202.701237
4,2013,1670,ED,62328.80287
4,2013,1671,ED,3.216127364
4,2013,1680,ED,6.678527096
4,2013,1682,ED,57196.859218
4,2013,1730,ED,291.92475014
4,2013,2070,ED,421.5894165
4,2013,2080,ED,791.1382367
4,2013,2120,ED,492.8780804
4,2013,2130,ED,261.1804036
4,2013,2190,ED,302.8872785
4,2013,2240,ED,122.6789602
4,2013,3010,ED,1422.846995
4,2013,3020,ED,239.1759718
4,2013,3030,ED,4395.57483
4,2013,3040,ED,754.9365216
