EmissionID,Year,TechID,ED_PFix,Value,Unit
1,2015,1040,M,2474.456875,Mg
1,2015,1110,M,357397373.765707,Mg
1,2015,1131,M,868384143.066406,Mg
1,2015,1132,M,188254705.078125,Mg
1,2015,1142,M,668292687.988281,Mg
1,2015,1152,M,691501491.699219,Mg
1,2015,1153,M,394657177.734375,Mg
1,2015,1158,M,689804506.835938,Mg
1,2015,1159,M,689804506.835938,Mg
1,2015,1163,M,689804506.835938,Mg
1,2015,1167,M,132433845.901489,Mg
1,2015,1168,M,689804506.835938,Mg
1,2015,1180,M,167846285.700798,Mg
1,2015,1200,M,837117612.304688,Mg
1,2015,1220,M,531794341.308594,Mg
1,2015,1221,M,1259199863.281251,Mg
1,2015,1222,M,1210565976.098632,Mg
1,2015,1301,M,325721833.038331,Mg
1,2015,1302,M,547670465.469361,Mg
1,2015,1410,M,1218421140.13672,Mg
1,2015,1461,M,451110899.780274,Mg
1,2015,1464,M,880917585.449219,Mg
1,2015,1471,M,81418381.984375,Mg
1,2015,1472,M,295124471.130372,Mg
1,2015,1480,M,1298387426.376343,Mg
1,2015,1510,M,561316270.446778,Mg
1,2015,1511,M,943800237.65564,Mg
1,2015,1520,M,1021427177.734376,Mg
1,2015,1530,M,469820984.960938,Mg
1,2015,1560,M,1017634605.712891,Mg
1,2015,1570,M,868985731.738282,Mg
1,2015,1590,M,956576528.320314,Mg
1,2015,1592,M,1310765979.003906,Mg
1,2015,1610,M,915871105.957032,Mg
1,2015,1612,M,53388031.640625,Mg
1,2015,1615,M,1460136869.506836,Mg
1,2015,1640,M,876575996.679688,Mg
1,2015,1670,M,1063146021.842956,Mg
1,2015,1675,M,320551541.230469,Mg
1,2015,1680,M,1261884700.012207,Mg
1,2015,1682,M,824005594.730377,Mg
1,2015,1690,M,360832402.22168,Mg
1,2015,2070,M,443932.890625,Mg
1,2015,2080,M,363220.078125,Mg
1,2015,2120,M,5560.603125,Mg
1,2015,2130,M,7834.721875,Mg
1,2015,2150,M,90655107.421875,Mg
1,2015,2170,M,1249.990625,Mg
1,2015,2190,M,14498291.015625,Mg
1,2015,2240,M,11748423.828125,Mg
1,2015,2300,M,192295080.566406,Mg
1,2015,3010,M,45046.009375,Mg
1,2015,3020,M,33082.003125,Mg
1,2015,3030,M,673.101625,Mg
1,2015,3040,M,4981.631875,Mg
1,2015,4010,M,1084955024.719238,Mg
1,2015,4040,M,766672216.796875,Mg
1,2015,4050,M,18175164.0625,Mg
1,2015,4060,M,767415991.210937,Mg
1,2015,4070,M,117541393.3125,Mg
1,2015,4090,M,759762748.718262,Mg
1,2015,4100,M,427884897.460938,Mg
1,2015,4120,M,247557167.648438,Mg
1,2015,4130,M,21664771.14125,Mg
1,2015,4140,M,7823514.84375,Mg
1,2015,4150,M,155791649.125,Mg
1,2015,4170,M,340596363.525391,Mg
1,2015,4190,M,327147962.695313,Mg
1,2015,4200,M,843564536.749219,Mg
1,2015,4210,M,52663698.34375,Mg
1,2015,4220,M,394002150.167188,Mg
1,2015,4230,M,921653176.855469,Mg
1,2015,4250,M,768200556.582031,Mg
1,2015,4270,M,944600890.380859,Mg
1,2015,5004,M,522076612.695313,Mg
1,2015,5005,M,865235495.849609,Mg
1,2015,5016,M,596350054.687501,Mg
1,2015,5017,M,1018575138.305664,Mg
1,2015,5025,M,671114759.521485,Mg
1,2015,5026,M,1112234976.196289,Mg
1,2015,5033,M,659021954.803467,Mg
1,2015,5034,M,290933667.65976,Mg
1,2015,5043,M,680973559.265136,Mg
1,2015,5044,M,1355447931.289673,Mg
1,2015,5052,M,689817027.282715,Mg
1,2015,5053,M,1324001543.045044,Mg
1,2015,5061,M,1078392718.200683,Mg
1,2015,5062,M,689729807.853698,Mg
1,2015,5070,M,680973559.265136,Mg
1,2015,5071,M,1355447931.289673,Mg
1,2015,5204,M,417771730.371094,Mg
1,2015,5205,M,1256926620.483399,Mg
1,2015,5216,M,767207796.63086,Mg
1,2015,5217,M,1269055778.503419,Mg
1,2015,5225,M,537034867.553711,Mg
1,2015,5226,M,598379125.366211,Mg
1,2015,5233,M,1374164886.474609,Mg
1,2015,5234,M,1010054297.447204,Mg
1,2015,5243,M,640217743.682861,Mg
1,2015,5244,M,909382837.677002,Mg
1,2015,5252,M,1010293243.789673,Mg
1,2015,5253,M,1051211966.514588,Mg
1,2015,5261,M,325779575.72937,Mg
1,2015,5262,M,368891173.648834,Mg
1,2015,5270,M,640217743.682861,Mg
1,2015,5271,M,909382837.677002,Mg
1,2015,5404,M,669625067.983399,Mg
1,2015,5405,M,1339081924.438478,Mg
1,2015,5416,M,192327066.589356,Mg
1,2015,5417,M,512000881.958008,Mg
1,2015,5425,M,1346230844.726563,Mg
1,2015,5426,M,1059368601.226807,Mg
1,2015,5433,M,564187915.802002,Mg
1,2015,5434,M,948269810.676575,Mg
1,2015,5443,M,995357072.830201,Mg
1,2015,5444,M,1371017454.457283,Mg
1,2015,5452,M,812736641.693116,Mg
1,2015,5453,M,1634152946.472168,Mg
1,2015,5461,M,901003006.362916,Mg
1,2015,5462,M,2248106739.521026,Mg
1,2015,5470,M,995357072.830201,Mg
1,2015,5471,M,1371017454.457283,Mg
1,2015,5604,M,1769271135.559083,Mg
1,2015,5605,M,925899060.058594,Mg
1,2015,5616,M,2137012548.828125,Mg
1,2015,5617,M,1046562078.094483,Mg
1,2015,5625,M,1495819691.467285,Mg
1,2015,5626,M,1008045263.633728,Mg
1,2015,5633,M,391145909.309387,Mg
1,2015,5634,M,657503973.245621,Mg
1,2015,5643,M,690071257.591248,Mg
1,2015,5644,M,1159988020.658493,Mg
1,2015,5652,M,178005453.681946,Mg
1,2015,5653,M,1133076285.123825,Mg
1,2015,5661,M,927307579.994202,Mg
1,2015,5662,M,1558774807.453155,Mg
1,2015,5670,M,690071257.591248,Mg
1,2015,5671,M,1159988020.658493,Mg
1,2015,5804,M,1229415312.500001,Mg
1,2015,5805,M,518256328.277588,Mg
1,2015,5816,M,292349002.807617,Mg
1,2015,5817,M,495262439.320069,Mg
1,2015,5825,M,221631623.718262,Mg
1,2015,5826,M,543923344.421387,Mg
1,2015,5833,M,831890684.127808,Mg
1,2015,5834,M,611535524.368286,Mg
1,2015,5843,M,1467646209.716797,Mg
1,2015,5844,M,1457467407.226562,Mg
1,2015,5852,M,846833465.576172,Mg
1,2015,5853,M,1423654157.161712,Mg
1,2015,5861,M,1972201444.625854,Mg
1,2015,5862,M,980119758.605957,Mg
1,2015,5870,M,1467646209.716797,Mg
1,2015,5871,M,1457467407.226562,Mg
1,2016,10,M,324794934.448243,Mg
1,2016,40,M,8467941.247625,Mg
1,2016,70,M,1883859161.376954,Mg
1,2016,80,M,109614664.453125,Mg
1,2016,81,M,865757373.046875,Mg
1,2016,90,M,1695220361.328125,Mg
1,2016,91,M,992882585.705956,Mg
1,2016,92,M,963554359.972477,Mg
1,2016,100,M,1787921380.615235,Mg
1,2016,110,M,1787921380.615235,Mg
1,2016,120,M,437681730.957031,Mg
1,2016,130,M,818269500.732422,Mg
1,2016,140,M,320932937.011719,Mg
1,2016,150,M,773027415.466308,Mg
1,2016,160,M,813411538.69629,Mg
1,2016,161,M,568380316.495895,Mg
1,2016,162,M,994674301.147461,Mg
1,2016,170,M,813411538.69629,Mg
1,2016,171,M,800658566.894532,Mg
1,2016,181,M,758044802.856445,Mg
1,2016,190,M,951906110.572815,Mg
1,2016,191,M,580094709.992409,Mg
1,2016,192,M,426290597.02158,Mg
1,2016,200,M,254409824.414063,Mg
1,2016,210,M,618473364.448547,Mg
1,2016,220,M,1237761707.305909,Mg
1,2016,230,M,1237761707.305909,Mg
1,2016,240,M,789350430.297852,Mg
1,2016,245,M,818994145.507813,Mg
1,2016,250,M,1290278008.270264,Mg
1,2016,251,M,1716960037.231446,Mg
1,2016,260,M,398614490.966797,Mg
1,2016,265,M,250235525.097656,Mg
1,2016,266,M,1557169184.570314,Mg
1,2016,270,M,612205936.431885,Mg
1,2016,280,M,612205936.431885,Mg
1,2016,290,M,645112424.850464,Mg
1,2016,295,M,1109925096.035003,Mg
1,2016,300,M,410079042.816162,Mg
1,2016,305,M,609016389.846802,Mg
1,2016,310,M,1366938426.971436,Mg
1,2016,320,M,1492376608.276368,Mg
1,2016,321,M,1847187419.891358,Mg
1,2016,330,M,1207815798.568725,Mg
1,2016,340,M,1419135591.506958,Mg
1,2016,350,M,599199104.309082,Mg
1,2016,360,M,558413198.471069,Mg
1,2016,363,M,579455080.566407,Mg
1,2016,366,M,849981905.908204,Mg
1,2016,400,M,1415834171.295166,Mg
1,2016,401,M,584007107.734679,Mg
1,2016,461,M,982060804.367066,Mg
1,2016,462,M,938423526.763916,Mg
1,2016,471,M,952008341.789246,Mg
1,2016,472,M,1433227213.859559,Mg
1,2016,611,M,158297666.609287,Mg
1,2016,612,M,264833682.477474,Mg
1,2016,620,M,1028696021.679688,Mg
1,2016,621,M,1283092337.799072,Mg
1,2016,630,M,896889776.611328,Mg
1,2016,631,M,648867937.922478,Mg
1,2016,632,M,170087850.8389,Mg
1,2016,670,M,340081672.668457,Mg
1,2016,690,M,241454578.399658,Mg
1,2016,695,M,493528288.602829,Mg
1,2016,700,M,894639056.396484,Mg
1,2016,720,M,894639056.396484,Mg
1,2016,810,M,808253091.430664,Mg
1,2016,811,M,19161225.259304,Mg
1,2016,812,M,284062549.471855,Mg
1,2016,850,M,768640676.879883,Mg
1,2016,857,M,82669909.954071,Mg
1,2016,858,M,643301893.025637,Mg
1,2016,865,M,556179630.279541,Mg
1,2016,866,M,146624901.890755,Mg
1,2016,870,M,21774351.171875,Mg
1,2016,890,M,904.962225,Mg
